id,name,email,gender,percentage
55,Ema Dank,edank1i@soup.io,Female,3.4
56,Mikel Kemmett,mkemmett1j@oaic.gov.au,Male,7.1
57,Thom Forsey,tforsey1k@unicef.org,Male,4.3
58,Mellisent Sculley,msculley1l@usda.gov,Agender,2.5
59,Kelcy Stendell,kstendell1m@dell.com,Female,6.4
60,Nowell Elletson,nelletson1n@freewebs.com,Male,2.0
61,Ivonne Beseke,ibeseke1o@ow.ly,Female,4.1
62,Reuben Dowyer,rdowyer1p@illinois.edu,Male,4.7
63,Sybille Shilburne,sshilburne1q@zimbio.com,Female,6.1
64,Kattie Booty,kbooty1r@cisco.com,Female,5.5
65,Wilhelm Founds,wfounds1s@about.com,Male,5.0
66,Lusa Hamshaw,lhamshaw1t@ifeng.com,Female,1.2
67,Paola Evemy,pevemy1u@simplemachines.org,Female,9.2
68,Wally Ornells,wornells1v@twitpic.com,Genderfluid,6.6
69,Derrik Cambridge,dcambridge1w@wp.com,Male,2.0
70,Northrop Buggy,nbuggy1x@sciencedaily.com,Male,4.5
71,Idell Weathers,iweathers1y@webnode.com,Polygender,4.8
72,Florenza MacAree,fmacaree1z@webmd.com,Female,4.9
73,Hamish Newby,hnewby20@list-manage.com,Male,1.6
74,Mirilla Piser,mpiser21@who.int,Female,8.3
75,Florenza Moody,fmoody22@statcounter.com,Female,2.0
76,Willamina Ervin,wervin23@tiny.cc,Female,7.0
77,Humfrey Duberry,hduberry24@ehow.com,Non-binary,6.3
78,Irene Avraham,iavraham25@csmonitor.com,Female,1.7
79,Kienan Strathman,kstrathman26@netlog.com,Male,7.2
80,Hasty MacGaughy,hmacgaughy27@blogger.com,Non-binary,5.1
81,Devland Plante,dplante28@sourceforge.net,Male,3.8
82,Sigvard Mullan,smullan29@exblog.jp,Male,9.6
83,Hedvig Fritchley,hfritchley2a@scribd.com,Female,1.1
84,Vin Sant,vsant2b@photobucket.com,Female,2.1
85,Jerrie Vaz,jvaz2c@ebay.com,Genderfluid,6.0
86,Perkin Zanetti,pzanetti2d@mayoclinic.com,Male,5.6
87,Holly Passman,hpassman2e@jalbum.net,Female,6.6
88,Aguistin Kohtler,akohtler2f@auda.org.au,Male,8.0
89,Paige Boyer,pboyer2g@opera.com,Female,4.1
90,Albert Whittaker,awhittaker2h@businesswire.com,Male,9.9
91,Bartel Gawkroge,bgawkroge2i@squarespace.com,Male,3.2
92,Raina Pothbury,rpothbury2j@sakura.ne.jp,Female,5.8
93,Maridel O'Mullally,momullally2k@washingtonpost.com,Female,2.1
94,Erek Brandone,ebrandone2l@blinklist.com,Male,7.9
95,Christi Livard,clivard2m@icq.com,Bigender,8.8
96,Meagan Douglass,mdouglass2n@friendfeed.com,Bigender,9.1
97,Riccardo Asty,rasty2o@cornell.edu,Male,6.2
98,Karoly Chiese,kchiese2p@dyndns.org,Male,6.0
99,Raquel Kerrane,rkerrane2q@geocities.com,Female,1.5
100,Jenifer Farrants,jfarrants2r@cmu.edu,Female,4.0
